Capability,"Capability describes an existing or needed ability of people (singly or combined), information systems or devices that can support an activity, process or function."
Capability Maturity Model Integration (CMMI),Capability Maturity Model Integration (CMMI) refers to a method of measuring the maturity of the capability of certain business processes to help organisations see their current level of maturity in relation to the desired level of maturity.
Cause and Effect Diagram,"The cause and effect diagram (also known as a fishbone diagram or Ishikawa diagram) shows the causes of a specific event and is very useful when investigating issues and risks. It helps to describe the problem/issue/risk, and to identify potential causes and categorise them."
Change,"Change refers to the act, process or result of the transition from an existing state to a new one."
Change Control,"Change control is an activity in the PM² Change Management Process that aims to evaluate, accept or reject project changes using a Change Log."
Change Control Board (CCB),"The Change Control Board (CCB) or Change Advisory Board (CAB) is a designated group of stakeholders that is responsible for reviewing, evaluating, approving or rejecting change requests for the project. In an organisation, this role may be performed by the Project Steering Committee (PSC)."
Change Log,"The Change Log is a register of project changes used for recording, assessing, monitoring, controlling and tracking change requests and respective decisions. It also serves as a way of communicating changes to the Project Owner (PO) and/or Project Steering Committee (PSC)."
Change Request,"A change request logs an appeal to amend an aspect of the agreed baseline of a project (i.e. scope, requirements, deliverables, resources, costs, timeframe or quality characteristics). A change request can be formally submitted via a Change Request Form, or can be identified and raised during meetings as a result of decisions, issues or risks, and should be documented in the Change Log."
Change Status,"The status of a change request is logged in the Change Log. It may have the following values: Submitted, Investigating, Waiting for approval, Approved, Rejected, Postponed, Merged or Implemented."
Client,See Requestor Side.
Closing Phase,"The Closing Phase is the final phase of the project. During this phase, project activities are completed, Lessons Learned are discussed and documented, the finished deliverables are transferred to the care, custody and control of the Project Owner (PO), and the project is administratively closed."
Communication Management Plan,"The Communication Management Plan describes the communication needs and expectations for the project. It defines and documents the content, format, frequency, audience and expected results of communication activities. It outlines how the assignment of activities and the project status are communicated. The plan identifies a communication strategy for each stakeholder, based on their interests in, expectations of and influence on the project."
Community of Practice (CoP),A Community of Practice (CoP) can be described as a group of people who share a common interest and/or a profession and which come as a group to exchange information and experiences. A CoP can be internal to an organisation or involve professionals from different organisations.
Competency,"Competency describes the skill and capacity required to complete (project) activities. If project team members do not possess the required competencies, then the performance of the activity/project can be jeopardised. When such a mismatch is identified, efforts to address it must be considered. These might include training, coaching, hiring consultants, adaptation of the project schedule or even a change in scope."
Compliance,"To be in compliance means to conform to applicable standards, methodologies and project requirements (e.g. quality requirements), laws, business rules, etc."
Configuration Item,"A configuration item is any project asset (deliverable, artefact, requirement, service, hardware, data, tool, etc.) that needs to be managed in order to deliver a project output."
Configuration Management,"Configuration management is a discipline that provides control of the assets used by the project (e.g. artefacts, deliverables, hardware, etc.)."
Context,Context is the overall set of organisational (internal) and external factors that influence or determine the need for the project and its urgency.
Contingency Plan,A contingency plan outlines the actions to follow in order to minimise the impact of a risk after it has occurred (i.e. proactive acceptance of the consequences).
Contractor’s Project Manager (CPM),The Contractor’s Project Manager (CPM) is a role performed by a resource from the contractor side. The role is responsible for managing the daily progress of the outsourced activities in order to deliver an acceptable quality of services and/or deliverables as defined in the contract. The Contractor’s Project Manager (CPM) works with the Project Manager (PM) and regularly reports on status and progress.
Constraint,A constraint is an internal or external limitation (fact) to a project that has a direct effect on its performance
Consulted Role (RASCI),"The consulted role on the RASCI table refers to the person/group/entity that provides input for an activity as a contributor, an expert, a reviewer, or other."
Corrective Actions,Corrective actions are planned (and implemented) as part of project controlling for the purpose of bringing the project back on track when significant deviations from the project’s baselines have been identified.
Critical Path,The critical path is the longest path (sequence of activities) needed to deliver project outputs.
Customisation,"Customisation of the PM² Methodology refers to defining specific project management parameters in order to address the particularities and needs of the project. It usually involves defining thresholds, scales and other parameters in the PM² defined processes (e.g. defining a risk as major when its impact is deemed as medium or higher), as well as any minor changes to the artefacts (e.g. renaming a section, etc.). Note that changes to the methodology are not considered customisations but tailoring. (See also _Tailoring_ .)"
