Pareto Chart Pareto Diagram Pareto Analysis,"The purpose of the Pareto Chart is to categorise (highlight) the cumulative percentage of the contribution of causes (issues, cost, etc.) according to the frequency with which they occur. The Pareto Principle states that generally 80% of effects come from 20% of causes. Using the Pareto Chart enables a focus on the causes that have a high frequency and attempt to find a resolution for them first. This technique is known as Pareto Analysis."
Peer Review,A peer review is an impartial review/evaluation of a project deliverable or artefact carried out by an expert or a group of experts working in the domain.
Performing Layer,The Performing Layer is an operational layer and is where most of the project activities are carried out. It is composed of the Business Implementation Group (BIG) and the Project Core Team (PCT).
Phase-Exit Review Checklists,Phase-Exit Review Checklists are spreadsheet-based documents used by the Project Manager (PM) to ensure that all the necessary items are in place before the project proceeds to the next phase or is closed. They are concerned with checking key information in each phase and gathering Lessons Learned.
Phase Gates,"Phase Gates are approval gates during the project lifecycle (Ready for Planning, Ready for Executing, Ready for Closing). They ensure good governance, making sure that project teams seek approval before moving on to the next phase."
Phase Input,"A phase input is any particular artefact, item, product, decision or even information that will be used in the activities of the receiving phase. Phase inputs are usually outputs of a previous phase."
Phase Output,"A phase output is any particular artefact, item, product, decision or even information that is produced during a phase."
Plan,"A plan is a written projection of project activities and resources needed to execute a process, e.g. for risk management, change management or transition. A plan should answer the four basic questions: what, when, how and by whom."
Planned Value (PV),"Planned Value (PV) refers to the amount of cost (monetary units) planned to be consumed until a point in time (e.g. within a reporting period). It is in other words, an approved cost estimate of the resources scheduled, in a time-phased cumulative baseline. Also known as Budgeted Cost of Work Scheduled (BCWS)."
Planning Phase,The Planning Phase is the second phase of a PM² project in which the subject of the project is verified and developed into a workable plan for implementation. The various standard and specific plans for the project are created in this phase.
PM² Mindsets,The PM² Mindsets present attitudes and behaviours which help project teams focus on what is really important in achieving project goals.
PM² Certification Programme (PM²- CertiPro),A knowledge and experience-based project management certification programme for European Institution staff involved in project-related work. PM²-CertiPro offers two certification Levels: PM² Certified (knowledge-based) and PM² Practitioner (experience-based).
PM² Training Programme,The European Commission’s training services offer a complete Project Management training programme. EU staff can choose between project management courses organised in four groups and two levels.
PMBOK (Project Management Body of Knowledge),"The Project Management Body of Knowledge (The PMBOK® Guide) is a guide that describes a set of standard terminology, practices and guidelines for project management. It is published by the Project Management Institute (PMI)."
